"dfd52eb","amg15490","Wed, 4 Oct 2023 21:59:52 +0300","Create commit",	 1 file changed, 1 insertion(+)	
"5a55e8f","Mohamed Salah","Mon, 21 Aug 2023 18:49:17 +0300","Update layout.xml",	 1 file changed, 1 insertion(+), 1 deletion(-)	
"5200f07","Mohamed Salah","Mon, 21 Aug 2023 18:49:11 +0300","Update landing.xml",	 1 file changed, 18 insertions(+), 18 deletions(-)	
"e642707","Mohamed Salah","Mon, 21 Aug 2023 07:35:03 +0300","Update controllers.py",	 1 file changed, 1 insertion(+), 1 deletion(-)	
"e4b8729","Mohamed Salah","Mon, 21 Aug 2023 07:25:49 +0300","pos_home_delivery",	 7 files changed, 1020 insertions(+), 463 deletions(-)	
"5ec086c","Mohamed Salah","Mon, 21 Aug 2023 07:25:39 +0300","pos_groups",	 1 file changed, 11 insertions(+), 1 deletion(-)	
"44a3538","Mohamed Salah","Mon, 21 Aug 2023 07:25:19 +0300","kg_hide_menu",	 23 files changed, 421 insertions(+)	
"e32a1d8","Mohamed Salah","Sat, 12 Aug 2023 21:33:25 +0300","Update pos_delivery.xml",	 1 file changed, 118 insertions(+), 94 deletions(-)	
"e22b8d6","Mohamed Salah","Sat, 12 Aug 2023 21:33:22 +0300","Update DeliveryOrderWidget.js",	 1 file changed, 14 insertions(+)	
"74c9a44","Mohamed Salah","Sat, 12 Aug 2023 21:33:19 +0300","Update pos_delivery.py",	 1 file changed, 6 insertions(+), 6 deletions(-)	
"d94cd8a","Mohamed Salah","Sat, 12 Aug 2023 17:10:59 +0300","Update pos_delivery.xml",	 1 file changed, 8 insertions(+)	
"62827da","Mohamed Salah","Sat, 12 Aug 2023 17:10:56 +0300","Update branch_security.xml",	 1 file changed, 1 insertion(+), 1 deletion(-)	
"21d109c","Mohamed Salah","Sat, 12 Aug 2023 16:06:05 +0300","pos_home_delivery",	 405 files changed, 54184 insertions(+), 1586 deletions(-)	
"9d356cf","Mohamed Salah","Sat, 5 Aug 2023 22:00:54 +0300","multi_branch_base: employees",	 3 files changed, 44 insertions(+), 32 deletions(-)	
"0060ff7","Mohamed Salah","Sat, 5 Aug 2023 21:19:06 +0300","multi_branch_pos: branch menu",	 1 file changed, 3 insertions(+)	
"380a60b","Mohamed Salah","Sat, 5 Aug 2023 20:08:55 +0300","pos_groups",	 64 files changed, 835 insertions(+)	
"e1c3ce4","Mohamed Salah","Sat, 5 Aug 2023 20:05:27 +0300","simplified_pos",	 2 files changed, 43 insertions(+), 1 deletion(-)	
"e84ad8f","Mohamed Salah","Sat, 5 Aug 2023 20:04:15 +0300","multi_branch_pos",	 2 files changed, 3 insertions(+), 1 deletion(-)	
"0f16e8d","Mohamed Salah","Fri, 4 Aug 2023 20:24:29 +0300","Create .gitignore",	 1 file changed, 2 insertions(+)	
"923f4d0","Mohamed Salah","Fri, 4 Aug 2023 17:34:47 +0300","[ADD] simplified_pos",	 71 files changed, 1544 insertions(+)	
"0bd6475","Mohamed Salah","Fri, 4 Aug 2023 17:34:33 +0300","[ADD] multi_branch_pos",	 56 files changed, 1578 insertions(+)	
"1003d55","Mohamed Salah","Fri, 4 Aug 2023 17:34:05 +0300","[ADD] multi_branch_base",	 94 files changed, 3190 insertions(+)	
"6d76ab9","Mohamed Rabiea","Sun, 30 Jul 2023 23:40:20 +0300","fix query_deluxe",	 1 file changed, 1 insertion(+), 1 deletion(-)	
"f72b2c8","Mohamed Rabiea","Sun, 30 Jul 2023 23:36:07 +0300","add module muk_web_theme",	 76 files changed, 2927 insertions(+)	
"382a2af","Mohamed Rabiea","Sun, 30 Jul 2023 23:08:40 +0300","move query_deluxe under technical",	 1 file changed, 1 insertion(+), 1 deletion(-)	
"d33a109","Mohamed Rabiea","Sun, 30 Jul 2023 22:54:17 +0300","add module query_deluxe",	 26 files changed, 1183 insertions(+)	
"3e991e8","Helal1001","Sun, 30 Jul 2023 22:15:59 +0300","Initial commit",	 1 file changed, 1 insertion(+)	
